,code,name,ex_name,ex_east_money_code,ex_code
0,cu2602,沪铜2602,上期所,113,SHFE
1,cu2603,沪铜2603,上期所,113,SHFE
2,cu2604,沪铜2604,上期所,113,SHFE
3,cu2605,沪铜2605,上期所,113,SHFE
4,cu2606,沪铜2606,上期所,113,SHFE
5,cu2607,沪铜2607,上期所,113,SHFE
6,cu2608,沪铜2608,上期所,113,SHFE
7,cu2609,沪铜2609,上期所,113,SHFE
8,cu2610,沪铜2610,上期所,113,SHFE
9,cu2611,沪铜2611,上期所,113,SHFE
10,cu2612,沪铜2612,上期所,113,SHFE
11,cu2701,沪铜2701,上期所,113,SHFE
12,cum,沪铜主连,上期所,113,SHFE
13,cus,沪铜次主连,上期所,113,SHFE
14,cufi,沪铜加权,期货指数加权,159,FI
15,al2602,沪铝2602,上期所,113,SHFE
16,al2603,沪铝2603,上期所,113,SHFE
17,al2604,沪铝2604,上期所,113,SHFE
18,al2605,沪铝2605,上期所,113,SHFE
19,al2606,沪铝2606,上期所,113,SHFE
20,al2607,沪铝2607,上期所,113,SHFE
21,al2608,沪铝2608,上期所,113,SHFE
22,al2609,沪铝2609,上期所,113,SHFE
23,al2610,沪铝2610,上期所,113,SHFE
24,al2611,沪铝2611,上期所,113,SHFE
25,al2612,沪铝2612,上期所,113,SHFE
26,al2701,沪铝2701,上期所,113,SHFE
27,alm,沪铝主连,上期所,113,SHFE
28,als,沪铝次主连,上期所,113,SHFE
29,alfi,沪铝加权,期货指数加权,159,FI
30,zn2602,沪锌2602,上期所,113,SHFE
31,zn2603,沪锌2603,上期所,113,SHFE
32,zn2604,沪锌2604,上期所,113,SHFE
33,zn2605,沪锌2605,上期所,113,SHFE
34,zn2606,沪锌2606,上期所,113,SHFE
35,zn2607,沪锌2607,上期所,113,SHFE
36,zn2608,沪锌2608,上期所,113,SHFE
37,zn2609,沪锌2609,上期所,113,SHFE
38,zn2610,沪锌2610,上期所,113,SHFE
39,zn2611,沪锌2611,上期所,113,SHFE
40,zn2612,沪锌2612,上期所,113,SHFE
41,zn2701,沪锌2701,上期所,113,SHFE
42,znm,沪锌主连,上期所,113,SHFE
43,zns,沪锌次主连,上期所,113,SHFE
44,znfi,沪锌加权,期货指数加权,159,FI
45,pb2602,沪铅2602,上期所,113,SHFE
46,pb2603,沪铅2603,上期所,113,SHFE
47,pb2604,沪铅2604,上期所,113,SHFE
48,pb2605,沪铅2605,上期所,113,SHFE
49,pb2606,沪铅2606,上期所,113,SHFE
50,pb2607,沪铅2607,上期所,113,SHFE
51,pb2608,沪铅2608,上期所,113,SHFE
52,pb2609,沪铅2609,上期所,113,SHFE
53,pb2610,沪铅2610,上期所,113,SHFE
54,pb2611,沪铅2611,上期所,113,SHFE
55,pb2612,沪铅2612,上期所,113,SHFE
56,pb2701,沪铅2701,上期所,113,SHFE
57,pbm,沪铅主连,上期所,113,SHFE
58,pbs,沪铅次主连,上期所,113,SHFE
59,pbfi,沪铅加权,期货指数加权,159,FI
60,au2602,沪金2602,上期所,113,SHFE
61,au2603,沪金2603,上期所,113,SHFE
62,au2604,沪金2604,上期所,113,SHFE
63,au2606,沪金2606,上期所,113,SHFE
64,au2608,沪金2608,上期所,113,SHFE
65,au2610,沪金2610,上期所,113,SHFE
66,au2612,沪金2612,上期所,113,SHFE
67,au2702,沪金2702,上期所,113,SHFE
68,aum,沪金主连,上期所,113,SHFE
69,aus,沪金次主连,上期所,113,SHFE
70,aufi,沪金加权,期货指数加权,159,FI
71,ag2602,沪银2602,上期所,113,SHFE
72,ag2603,沪银2603,上期所,113,SHFE
73,ag2604,沪银2604,上期所,113,SHFE
74,ag2605,沪银2605,上期所,113,SHFE
75,ag2606,沪银2606,上期所,113,SHFE
76,ag2607,沪银2607,上期所,113,SHFE
77,ag2608,沪银2608,上期所,113,SHFE
78,ag2609,沪银2609,上期所,113,SHFE
79,ag2610,沪银2610,上期所,113,SHFE
