,category,market,code,name,desc
0,3,42,IMCI,上期有色,
1,3,42,T001,通达信商品,
2,3,42,T002,农产品,
3,3,42,T003,工业品,
4,3,42,T004,谷物板块,
5,3,42,T005,油脂板块,
6,3,42,T006,石油板块,
7,3,42,T007,化工板块,
8,3,42,T008,钢铁板块,
9,3,42,T009,有色板块,
10,3,42,T010,软商品板块,
11,3,42,T011,建材板块,
12,3,42,T012,贵金属,
13,3,42,T013,煤炭板块,
14,3,42,T014,煤化工板块,
15,3,42,T015,铁合金板块,
16,3,42,T016,饲料板块,
17,3,42,T030,金融期货,
18,3,42,T031,油脂链,
19,3,42,T032,玉米链,
20,3,42,T033,生猪链,
21,3,42,T034,塑化链,
22,3,42,T035,聚酯链,
23,3,42,T036,黑链,
24,3,47,IC2602,中证2602,
25,3,47,IC2603,中证2603,
26,3,47,IC2606,中证2606,
27,3,47,IC2609,中证2609,
28,5,47,IC500,中证500,
29,3,47,ICL0,中证当月,
30,3,47,ICL1,中证下月,
31,3,47,ICL2,中证下季,
32,3,47,ICL3,中证隔季,
33,3,47,ICL7,中证次连,
34,3,47,ICL8,中证主连,
35,3,47,ICL9,中证加权,
36,3,47,IF2602,沪深2602,
37,3,47,IF2603,沪深2603,
38,3,47,IF2606,沪深2606,
39,3,47,IF2609,沪深2609,
40,5,47,IF300,沪深300,
41,3,47,IFL0,沪深当月,
42,3,47,IFL1,沪深下月,
43,3,47,IFL2,沪深下季,
44,3,47,IFL3,沪深隔季,
45,3,47,IFL7,沪深次连,
46,3,47,IFL8,沪深主连,
47,3,47,IFL9,沪深加权,
48,3,47,IH2602,上证2602,
49,3,47,IH2603,上证2603,
50,3,47,IH2606,上证2606,
51,3,47,IH2609,上证2609,
52,5,47,IH50,上证50,
53,3,47,IHL0,上证当月,
54,3,47,IHL1,上证下月,
55,3,47,IHL2,上证下季,
56,3,47,IHL3,上证隔季,
57,3,47,IHL7,上证次连,
58,3,47,IHL8,上证主连,
59,3,47,IHL9,上证加权,
60,5,47,IM1000,中证1000,
61,3,47,IM2602,中千2602,
62,3,47,IM2603,中千2603,
63,3,47,IM2606,中千2606,
64,3,47,IM2609,中千2609,
65,3,47,IML0,中千当月,
66,3,47,IML1,中千下月,
67,3,47,IML2,中千下季,
68,3,47,IML3,中千隔季,
69,3,47,IML7,中千次连,
70,3,47,IML8,中千主连,
71,3,47,IML9,中千加权,
72,5,47,IZ100,深证100,
73,3,47,IZL0,深证当月,
74,3,47,IZL1,深证下月,
75,3,47,IZL2,深证下季,
76,3,47,IZL3,深证隔季,
77,3,47,T2603,十债2603,
78,3,47,T2606,十债2606,
79,3,47,T2609,十债2609,
80,3,47,TF2603,五债2603,
81,3,47,TF2606,五债2606,
82,3,47,TF2609,五债2609,
83,3,47,TFL0,五债当季,
84,3,47,TFL1,五债下季,
85,3,47,TFL2,五债隔季,
86,3,47,TFL7,五债次连,
87,3,47,TFL8,五债主连,
88,3,47,TFL9,五债加权,
89,3,47,TL0,十债当季,
90,3,47,TL1,十债下季,
