market,category,name,short_name
1,1,临时股,TP
4,12,郑州商品期权,OZ
5,12,大连商品期权,OD
6,12,上海商品期权,OS
7,12,中金所期权,OJ
8,12,上海股票期权,QQ
9,12,深圳股票期权,SQ
10,4,基本汇率,FE
11,4,交叉汇率,FX
12,5,国际指数,WI
16,3,纽约COMEX,CO
17,3,纽约NYMEX,NY
18,3,芝加哥CBOT,CB
23,3,香港金融期货,PR
24,12,香港金融期权,PJ
25,3,香港股票期货,PH
26,12,香港股票期权,PQ
27,5,香港指数,FH
28,3,郑州商品,QZ
29,3,大连商品,QD
30,3,上海期货,QS
31,2,香港主板,KH
33,8,开放式基金,FU
34,9,货币型基金,FB
38,10,宏观指标,HG
42,3,商品指数,TI
43,1,B股转H股,HB
44,1,股转系统,SB
46,11,上海黄金,SG
47,3,中金所期货,CZ
48,2,香港创业板,KG
49,2,香港基金,KT
54,6,国债预发行,GY
56,8,阳光私募基金,TA
57,8,券商集合理财,TB
58,9,券商货币理财,TC
60,3,主力期货合约,MA
62,5,中证指数,ZZ
65,3,广州套利期货,EG
66,3,广州期货,QG
67,12,广州期权,OG
68,5,风控指数,TZ
69,5,华证指数,BZ
70,5,扩展板块指数,UZ
73,14,德国股票,DE
74,13,美国股票,US
78,15,新加坡股票,SE
91,7,资金市场,FD
93,6,基金估值,JG
94,3,郑州期货(辅),EZ
95,3,大连期货(辅),ED
96,3,上海期货(辅),ES
97,3,中金所期货(辅),EJ
98,2,港股暗盘,AP
100,11,代码镜像,CM
101,4,外汇中间价,FR
102,5,国证指数,GZ
103,5,外汇中心指数,YZ
104,5,中债指数,ZS
105,5,更多其它指数,MZ
107,11,分析师指数,YJ
108,11,基金经理指数,JL
