code,name,ex_name,ex_east_money_code,tdx_code,tdx_market_code
cum,沪铜主连,上期所,113,CUL8,30
cus,沪铜次主连,上期所,113,CUL7,30
cufi,沪铜加权,期货指数加权,159,CUL9,30
alm,沪铝主连,上期所,113,ALL8,30
als,沪铝次主连,上期所,113,ALL7,30
alfi,沪铝加权,期货指数加权,159,ALL9,30
znm,沪锌主连,上期所,113,ZNL8,30
zns,沪锌次主连,上期所,113,ZNL7,30
znfi,沪锌加权,期货指数加权,159,ZNL9,30
pbm,沪铅主连,上期所,113,PBL8,30
pbs,沪铅次主连,上期所,113,PBL7,30
pbfi,沪铅加权,期货指数加权,159,PBL9,30
aum,沪金主连,上期所,113,AUL8,30
aus,沪金次主连,上期所,113,AUL7,30
aufi,沪金加权,期货指数加权,159,AUL9,30
agm,沪银主连,上期所,113,AGL8,30
ags,沪银次主连,上期所,113,AGL7,30
agfi,沪银加权,期货指数加权,159,AGL9,30
rbm,螺纹钢主连,上期所,113,RBL8,30
rbs,螺纹钢次主连,上期所,113,RBL7,30
rbfi,螺纹钢加权,期货指数加权,159,RBL9,30
wrm,线材主连,上期所,113,WRL8,30
wrs,线材次主连,上期所,113,WRL7,30
wrfi,线材加权,期货指数加权,159,WRL9,30
fum,燃油主连,上期所,113,FUL8,30
fus,燃油次主连,上期所,113,FUL7,30
fufi,燃油加权,期货指数加权,159,FUL9,30
rum,橡胶主连,上期所,113,RUL8,30
rus,橡胶次主连,上期所,113,RUL7,30
rufi,橡胶加权,期货指数加权,159,RUL9,30
bum,沥青主连,上期所,113,BUL8,30
bus,沥青次主连,上期所,113,BUL7,30
bufi,沥青加权,期货指数加权,159,BUL9,30
hcm,热卷主连,上期所,113,HCL8,30
hcs,热卷次主连,上期所,113,HCL7,30
hcfi,热卷加权,期货指数加权,159,HCL9,30
nim,沪镍主连,上期所,113,NIL8,30
nis,沪镍次主连,上期所,113,NIL7,30
nifi,沪镍加权,期货指数加权,159,NIL9,30
snm,沪锡主连,上期所,113,SNL8,30
sns,沪锡次主连,上期所,113,SNL7,30
snfi,沪锡加权,期货指数加权,159,SNL9,30
spm,纸浆主连,上期所,113,SPL8,30
sps,纸浆次主连,上期所,113,SPL7,30
spfi,纸浆加权,期货指数加权,159,SPL9,30
ssm,不锈钢主连,上期所,113,SSL8,30
sss,不锈钢次主连,上期所,113,SSL7,30
ssfi,不锈钢加权,期货指数加权,159,SSL9,30
aom,氧化铝主连,上期所,113,AOL8,30
aos,氧化铝次主连,上期所,113,AOL7,30
aofi,氧化铝加权,期货指数加权,159,AOL9,30
brm,丁二烯胶主连,上期所,113,BRL8,30
brs,丁二烯胶次主连,上期所,113,BRL7,30
brfi,丁二烯胶加权,期货指数加权,159,BRL9,30
adm,铸造铝主连,上期所,113,ADL8,30
ads,铸造铝次主连,上期所,113,ADL7,30
adfi,铸造铝加权,期货指数加权,159,ADL9,30
opm,胶版纸主连,上期所,113,OPL8,30
ops,胶版纸次主连,上期所,113,OPL7,30
opfi,胶版纸加权,期货指数加权,159,OPL9,30
cm,玉米主连,大商所,114,CL8,29
cs,玉米次主连,大商所,114,CL7,29
cfi,玉米加权,期货指数加权,159,CL9,29
am,豆一主连,大商所,114,AL8,29
as,豆一次主连,大商所,114,AL7,29
afi,豆一加权,期货指数加权,159,AL9,29
bm,豆二主连,大商所,114,BL8,29
bs,豆二次主连,大商所,114,BL7,29
bfi,豆二加权,期货指数加权,159,BL9,29
mm,豆粕主连,大商所,114,ML8,29
ms,豆粕次主连,大商所,114,ML7,29
mfi,豆粕加权,期货指数加权,159,ML9,29
ym,豆油主连,大商所,114,YL8,29
ys,豆油次主连,大商所,114,YL7,29
yfi,豆油加权,期货指数加权,159,YL9,29
pm,棕榈油主连,大商所,114,PL8,29
ps,棕榈油次主连,大商所,114,PL7,29
pfi,棕榈油加权,期货指数加权,159,PL9,29
lm,塑料主连,大商所,114,LL8,29
ls,塑料次主连,大商所,114,LL7,29
lfi,塑料加权,期货指数加权,159,LL9,29
vm,PVC主连,大商所,114,VL8,29
vs,PVC次主连,大商所,114,VL7,29
vfi,PVC加权,期货指数加权,159,VL9,29
jm,焦炭主连,大商所,114,JL8,29
js,焦炭次主连,大商所,114,JL7,29
jfi,焦炭加权,期货指数加权,159,JL9,29
jmm,焦煤主连,大商所,114,JML8,29
jms,焦煤次主连,大商所,114,JML7,29
jmfi,焦煤加权,期货指数加权,159,JML9,29
fbm,纤维板主连,大商所,114,FBL8,29
fbs,纤维板次主连,大商所,114,FBL7,29
fbfi,纤维板加权,期货指数加权,159,FBL9,29
bbm,胶合板主连,大商所,114,BBL8,29
bbs,胶合板次主连,大商所,114,BBL7,29
bbfi,胶合板加权,期货指数加权,159,BBL9,29
im,铁矿石主连,大商所,114,IL8,29
is,铁矿石次主连,大商所,114,IL7,29
ifi,铁矿石加权,期货指数加权,159,IL9,29
jdm,鸡蛋主连,大商所,114,JDL8,29
jds,鸡蛋次主连,大商所,114,JDL7,29
jdfi,鸡蛋加权,期货指数加权,159,JDL9,29
ppm,聚丙烯主连,大商所,114,PPL8,29
pps,聚丙烯次主连,大商所,114,PPL7,29
ppfi,聚丙烯加权,期货指数加权,159,PPL9,29
csm,淀粉主连,大商所,114,CSL8,29
css,淀粉次主连,大商所,114,CSL7,29
csfi,淀粉加权,期货指数加权,159,CSL9,29
egm,乙二醇主连,大商所,114,EGL8,29
egs,乙二醇次主连,大商所,114,EGL7,29
egfi,乙二醇加权,期货指数加权,159,EGL9,29
rrm,粳米主连,大商所,114,RRL8,29
